Class,Activity,Reading
"Monday, August 21, 2023",1. Introduction,"Syllabus, QK 1.1, 1.2"
"Wednesday, August 23, 2023",2. Univariate Data,"Zar Ch 1, Manikandan 2011, QK 1.3, 1.5"
"Monday, August 28, 2023","3. Best Practices and 4, 5, and 6 R Intro",Broman and Wu 2018
"Wednesday, August 30, 2023",In class assignment,
"Monday, September 4, 2023",Labor Day Holiday,
"Wednesday, September 6, 2023",7. Sampling,"Zar Ch 2, Banerjee and Chaudhury 2010, QK 2.1, QK 7.1, 7.2"
"Monday, September 11, 2023",9. Measures of Central Tendency,Zar Ch 3
"Wednesday, September 13, 2023",10. Measures of Dispersion,Zar Ch 4
"Monday, September 18, 2023",In class assignment,
"Wednesday, September 20, 2023",11. The Normal Distribution,"Zar Ch 6, QK 2.2"
"Monday, September 25, 2023",In class assignment,
"Wednesday, September 27, 2023",Exam 01,
"Monday, October 2, 2023",12. Confidence intervals and 13.NHST,"Zar Ch 7, QK 2.3, QK 3.1  "
"Wednesday, October 4, 2023",14. One- and two-tailed Tests and 15. Statistical Power,"Zar Ch 8, Benjamin et al., Pernet 2015, Steidl et al. 1997, Trafimow, QK 3.2, 3.4"
"Monday, October 9, 2023",In class assignment,
"Wednesday, October 11, 2023",16. Bivariate Relationships,"Zar Ch 19, Aggarwal and Ranganathan 2016, QK 5.1"
"Monday, October 16, 2023",In class assignment,
"Wednesday, October 18, 2023",Exam 02,
"Monday, October 23, 2023",Fall Break,
"Wednesday, October 25, 2023",17. Linear Regression,"Zar Ch 17, 18, Smith 2018, QK 5.2, 5.3"
"Monday, October 30, 2023",18. Multiple Linear Regression,"Zar Ch 20, QK 6.1"
"Wednesday, November 1, 2023",In class assignment,
"Monday, November 6, 2023",19. Comparing Two Means using t-tests,
"Wednesday, November 8, 2023",20. ANOVA,"Zar Ch 10. 11, Morley 1983, QK 8.1, 8.3"
"Monday, November 13, 2023",In class assignment,
"Wednesday, November 15, 2023",Exam 03,
"Monday, November 20, 2023",21. Two-Way and Multiway Independent ANOVA,"Zar Ch 12, 13, 14, QK 4.3, 9.2"
"Wednesday, November 22, 2023",In class assignment,
"Monday, November 27, 2023",Thanksgiving Break,
"Wednesday, November 29, 2023",Goodness of Fit and Contingency Tables,"Zar 22, 23"
"Monday, December 4, 2023",In class assignment,
"Monday to Thursday, December 5 to 8, 2023",Final Exam Week,
